Line,"{'+atomic', '+definite'} - definite - a_2","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'+definite', '-atomic'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
3518,497.9000000000447,297.3999999999991,487.4000000000423,191.5999999999934,182.6999999999939,275.59999999999417,103.4999999999984,205.09999999999263,30.300000000000164
3519,498.00000000004474,297.3999999999991,487.4000000000423,191.89999999999338,182.6999999999939,275.59999999999417,103.4999999999984,205.09999999999263,30.400000000000166
3520,498.10000000004476,297.6999999999992,487.50000000004235,191.89999999999338,182.6999999999939,275.59999999999417,103.4999999999984,205.09999999999263,30.400000000000166
3521,498.50000000004485,297.7999999999992,487.50000000004235,191.99999999999338,182.6999999999939,275.6999999999942,103.4999999999984,205.09999999999263,30.400000000000166
3522,498.8000000000449,297.89999999999924,487.50000000004235,192.09999999999337,182.6999999999939,275.7999999999942,103.4999999999984,205.09999999999263,30.400000000000166
3523,498.8000000000449,297.99999999999926,487.90000000004244,192.09999999999337,182.7999999999939,275.89999999999424,103.59999999999839,205.29999999999262,30.400000000000166
3524,498.8000000000449,298.0999999999993,488.2000000000425,192.09999999999337,182.8999999999939,275.99999999999426,103.69999999999838,205.4999999999926,30.400000000000166
3525,498.90000000004494,298.0999999999993,488.30000000004253,192.09999999999337,182.8999999999939,276.1999999999943,103.69999999999838,205.4999999999926,30.400000000000166
3526,498.90000000004494,298.1999999999993,488.7000000000426,192.09999999999337,182.9999999999939,276.2999999999943,103.79999999999838,205.6999999999926,30.400000000000166
3527,498.90000000004494,298.29999999999933,489.0000000000427,192.09999999999337,183.09999999999388,276.39999999999435,103.89999999999837,205.8999999999926,30.400000000000166
3528,498.90000000004494,298.29999999999933,489.1000000000427,192.09999999999337,183.19999999999388,276.39999999999435,103.89999999999837,205.8999999999926,30.400000000000166
3529,499.200000000045,298.39999999999935,489.1000000000427,192.19999999999337,183.19999999999388,276.4999999999944,103.89999999999837,205.8999999999926,30.400000000000166
3530,499.6000000000451,298.4999999999994,489.1000000000427,192.29999999999336,183.19999999999388,276.5999999999944,103.89999999999837,205.8999999999926,30.400000000000166
3531,499.6000000000451,298.4999999999994,489.20000000004273,192.29999999999336,183.39999999999387,276.5999999999944,103.89999999999837,205.8999999999926,30.400000000000166
3532,499.6000000000451,298.5999999999994,489.6000000000428,192.29999999999336,183.49999999999386,276.6999999999944,103.99999999999837,206.09999999999258,30.400000000000166
